"Date of sale","Time of sale","Date of listing","Bundle","Buyer","Brand","Description","Size","Item price","Buyer shipping cost","Total","USPS Cost","Depop fee","Depop Payments fee","Boosting fee","Total fee VAT","Total fee excl. VAT","Payment type","Category","Country","Unknown Tax","US Sales tax","Australia Sales tax","Refunded to buyer amount","Fees refunded to seller"
"21/02/2023","10:17 PM","28/01/2023","No","imanh001","N/A","Gorpcore cargo jacket

Utility khaki cargo jacket with asymmetric zip. Features cargo pocket with strap matching adjustable straps on sleeves. Contrast fabric across back and collar. Very faint yellowish marks down back and back right sleeve otherwise excellent condition! 

✰ Measurements
Label - no label fits M UK10-12
Length - 21”
Pit to pit - 17.5”
Shoulder to shoulder - 15.75”
Sleeve from pit - 17”
XS/S mannequin. (Pinned to fit) 

✰ 2+ items for free UK shipping!!
✰ USA - £20
✰ EUROPE - £13.62

🐰 Sales are final! 🐰","M","£42.00","£3.95","£45.95","£0.00","£4.60","£1.63","=""-""","£1.04","£5.19","STRIPE","Outerwear","GB",,,,"N/A","N/A"
"21/02/2023","11:18 PM","21/02/2023","No","styleanon","Diesel","Diesel asymmetric zip up

Gorpcore Diesel zip up sweater. Features asymmetric zip and collar. Raw fabric edge details and branded zip puller. Excellent condition! 

✰ Measurements
Label - S fits UK8/10
Length - 22”
Shoulder to shoulder - 16”
Pit to pit - 17”
Sleeve from pit - 19”
XS/S mannequin. 

✰ 2+ items for free UK shipping!!
✰ USA - £20
✰ EUROPE - £12

🐸 Sales are final! 🐸  
FC430","S","£70.00","£4.71","£74.71","£0.00","£7.47","£2.47","=""-""","£1.66","£8.28","STRIPE","Outerwear","GB",,,,"N/A","N/A"
"22/02/2023","5:48 PM","21/02/2023","Yes","yeeziilov","N/A","Gorpcore rib knit hoodie

00s zip up knit hoodie khaki and brown. Features double zip at front zips on both sleeves. Excellent condition! 

✰ Measurements
Label - 2 fits S/M UK8/10/12
Length - 21”
Shoulder to shoulder - 15”
Pit to pit - 16”
Sleeve from pit - 21”
XS/S mannequin. 

✰ 2+ items for free UK shipping!!
✰ USA - £19.80
✰ EUROPE - £11.12

🐸 Sales are final! 🐸
FC410","M","£50.00","£0.00","£155.00","£0.00","£5.00","£0.00","=""-""","£0.83","£4.17","PAYPAL","Sweaters","GB",,,,"N/A","N/A"
"22/02/2023","5:48 PM","21/02/2023","Yes","yeeziilov","N/A","Utility zip up jumper

Chunky knit sweater with zip opening at front. features two big pockets on front zip up collar and rib knit details. Bottom of zipper broken quite hard to open fully hole in front of left arm as displayed. Otherwise fair condition.

✰ Measurements
Label - UK6/8 fits more like S/M UK8/10/12
Length - 21”
Shoulder to shoulder - 16.5”
Pit to pit - 17”
Sleeve from pit - 22”
XS/S mannequin. 

✰ 2+ items for free UK shipping!!
✰ USA - £19.80
✰ EUROPE - £11.12

🐸 Sales are final! 🐸
FC404","M","£20.00","=""-""","=""-""","=""-""","£2.00","=""-""","=""-""","=""-""","=""-""","PAYPAL","Sweaters","GB","=""-""","=""-""","=""-""","N/A","N/A"
"22/02/2023","5:48 PM","21/02/2023","Yes","yeeziilov","Diesel","Diesel asymmetric sweater

00s diesel sweater. Features curved button up opening at front button up collar raw seam details  buttoned vent at back and embroidered text around side of hem. Excellent condition! 

✰ Measurements
Label - M fits M/L UK10/12/14
Length - 22”
Shoulder to shoulder - 16/16.5”
Pit to pit - 20”
Sleeve from pit - 24”
XS/S mannequin. (Pinned to fit)

✰ 2+ items for free UK shipping!!
✰ USA - £20
✰ EUROPE - £13.62

🐸 Sales are final! 🐸
FC434","M","£85.00","=""-""","=""-""","=""-""","£8.50","=""-""","=""-""","=""-""","=""-""","PAYPAL","Outerwear","GB","=""-""","=""-""","=""-""","N/A","N/A"
"23/02/2023","1:45 AM","01/02/2023","No","rebby_ca","N/A","2000s zip up sweater 

Gorpcore zip up faded grey wash. features raw seam details on hem cuffs and zip. Intentionally faded design on front two nice little pockets. Contrast embroidery on back neck. Excellent condition!

✰ Measurements

Label - S fits UK6/8
Length - 21”
Pit to pit - 15”
Shoulder to shoulder - 14”
Sleeve from pit - 19.5”
XS/S mannequin. 

✰ 2+ items for free UK shipping!!
✰ USA - £19.85
✰ EUROPE - £11.12

🐰 Sales are final! 🐰","S","£42.00","£3.95","£45.95","£0.00","£4.60","£1.63","=""-""","£1.04","£5.19","STRIPE","Outerwear","GB",,,,"N/A","N/A"
"23/02/2023","4:10 PM","21/02/2023","No","suzaanstander","Diesel","00s Diesel crossbody bag

Vintage Diesel shoulder bag/satchel. Adjustable strap lots of pockets in excellent condition! 

✰ Measurements
Width - 7.75”
Length - 10”
Opening - 7.5”
XS/S mannequin. 

✰ 2nd class shipping 2+ items free UK shipping
✰ EU - £12 
✰ USA - £20

🐸 Sales are final! 🐸
FA36",,"£60.00","£17.00","£84.70","£0.00","£7.70","£2.76","=""-""","£1.74","£8.72","STRIPE","Bags & Purses","AU",,,"£7.70","N/A","N/A"
"24/02/2023","11:14 AM","21/02/2023","No","isabellas_vintage","N/A","Gorpcore graphic tshirt 

Longsleeve khaki T-shirt with writing print across front. Features asymmetric seam and embroidery details. Some dark marks by right side of hem otherwise great condition!

✰  Measurements
Label - 1 fits S UK6/8/10
Length - 21.5”
Shoulder to shoulder - 13.5”
Pit to pit - 15.5”
Sleeve from pit - 18”
XS/S mannequin. 

✰ 2+ items for free UK shipping!!
✰ USA - £9.75
✰ EUROPE - £8.75

🐸 Sales are final! 🐸","S","£24.00","£3.05","£27.05","£0.00","£2.70","£0.00","=""-""","£0.45","£2.25","PAYPAL","T-shirts","GB",,,,"N/A","N/A"
"24/02/2023","1:34 PM","31/01/2023","No","ringsthat","Cop Copine","Cop Copine khaki turtleneck 

90s 00s Cop Copine khaki/black long sleeve T-shirt with turtleneck. Features Raglan sleeves and flocked graphic on back. Excellent condition!

✰ Measurements
Label - 2 fits M UK10-12
Length - 21”
Pit to pit - 16”
Sleeve from pit - 23.5”
XS/S mannequin. (Top pictured is size S)

✰ 2+ items for free UK shipping!!
✰ USA - £13.15
✰ EUROPE - £11.70

🦋 Sales are final! 🦋
#copcopine #gorpcore","M","£49.00","£4.04","£53.04","£0.00","£5.30","£0.00","=""-""","£0.88","£4.42","PAYPAL","T-shirts","GB",,,,"N/A","N/A"
"24/02/2023","6:24 PM","21/02/2023","No","miwawaa","N/A","Gorpcore bomber jacket

00s semi lightweight utilitarian jacket grey/brown colour. Features two front pockets and one mini arm pocket. Browny grey rib knit hem and collar not sure if two tone or faded. Very tiny frays at pocket edge otherwise excellent condition!

✰ Measurements
Label - 34 fits M UK10/12
Length - 21.5”
Shoulder to shoulder - 15.75”
Pit to pit - 19”
Sleeve from pit - 20”
XS/S mannequin. (Pinned to fit)

✰ 2+ items for free UK shipping!!
✰ USA - £21
✰ EUROPE - £12.15

🐸 Sales are final! 🐸
FC409","M","£65.00","£4.71","£69.71","£0.00","£6.97","£2.32","=""-""","£1.55","£7.74","STRIPE","Outerwear","GB",,,,"£4.71","£0.63"
